全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
170003,,EE0000000001,石川県,金沢城公園,カナザワジョウコウエン,Kanazawa Castle Park,172014,,石川県金沢市丸の内1-1金沢城公園,石川県,金沢市,丸の内,1-1,金沢城公園,36.5661,136.65886,,,,,,,,,,https://www.pref.ishikawa.jp/siro-niwa/kanazawajou/index.html,
170003,,EE0000000002,石川県,兼六園,ケンロクエン,Kenroku-en Garden,172014,,石川県金沢市兼六町1-4兼六園,石川県,金沢市,兼六町,1,兼六園,36.56231,136.66268,,,,,,,,,,https://www.pref.ishikawa.jp/siro-niwa/kenrokuen/index.html,
170003,,EE0000000003,石川県,石川県政記念しいのき迎賓館,イシカワケンセイキネンシイノキゲイヒンカン,"Shiinoki Cultural Complex, Ishikawa Prefecture",172014,,石川県金沢市広坂2-1-1石川県政記念しいのき迎賓館,石川県,金沢市,広坂,2-1-1,石川県政記念しいのき迎賓館,36.56263,136.65784,,,,,,,,,,https://www.shiinoki-geihinkan.jp/event/index.cgi,
170003,,EE0000000004,石川県,石川四高記念文化交流館,イシカワシコウキネンブンカコウリュウカン,"The Fourth High School Memorial Museum of Cultural Exchange, Ishikawa",172014,,石川県金沢市広坂2-2-5石川四高記念文化交流館,石川県,金沢市,広坂,2-2-5,石川四高記念文化交流館,36.56272,136.6558,,,,,,,,,,https://www.pref.ishikawa.jp/shiko-kinbun/,
170003,,EE0000000005,石川県,石川県立美術館,イシカワケンリツビジュツカン,Ishikawa Prefectural Museum of Art,172014,,石川県金沢市出羽町2-1石川県立美術館,石川県,金沢市,出羽町,2-1,石川県立美術館,36.56026,136.6612,,,,,,,,,,https://www.ishibi.pref.ishikawa.jp/,
170003,,EE0000000006,石川県,石川県立歴史博物館,イシカワケンリツレキシハクブツカン,Ishikawa Prefectural Museum of History,172014,,石川県金沢市出羽町3-1石川県立歴史博物館,石川県,金沢市,出羽町,3-1,石川県立歴史博物館,36.55881,136.66292,,,,,,,,,,https://ishikawa-rekihaku.jp/,
170003,,EE0000000007,石川県,石川県立能楽堂 ,イシカワケンリツノウガクドウ,Ishikawa Prefectural Noh Theater,172014,,石川県金沢市石引4-18-3石川県立能楽堂,石川県,金沢市,石引,4-18-3,石川県立能楽堂,36.55978,136.66326,,,,,,,,,,https://noh-theater.jp/,
170003,,EE0000000008,石川県,いしかわ百万石物語江戸本店,イシカワヒャクマンゴクモノガタリエドホンテン,Ishikawa Hyakumangoku Shop,131024,,東京都中央区銀座2-2-18TH銀座ビル,東京都,中央区,銀座,2-2-18,TH銀座ビル,35.67498,139.76572,,,,,,,,,,https://100mangokushop.jp/,
170003,,EE0000000009,石川県,石川県庁,イシカワケンチョウ,Ishikawa Prefectural Government Office,172014,,石川県金沢市鞍月1-1石川県庁,石川県,金沢市,鞍月,1-1,石川県庁,36.59493,136.62568,,,,,,,,,,https://www.pref.ishikawa.lg.jp/,
