病院名,二次医療圏,郵便番号,住所,電話番号,備考
石川県立中央病院,石川中央,920-8530,金沢市鞍月東２丁目1番地,(076)237-8211,基幹災害拠点病院
小松市民病院,南加賀,923-8560,小松市向本折町ホ60番地,(0761)22-7111,地域災害拠点病院
公立松任石川中央病院,石川中央,924-8588,白山市倉光３丁目8番地,(076)275-2222,地域災害拠点病院
金沢赤十字病院,石川中央,921-8162,金沢市三馬２丁目251番地,(076)242-8131,地域災害拠点病院
金沢市立病院,石川中央,921-8105,金沢市平和町３丁目７番３号,(076)245-2600,地域災害拠点病院
国立病院機構金沢医療センター,石川中央,920-8650,金沢市下石引町１番１号,(076)262-4161,地域災害拠点病院
公立羽咋病院,能登中部,925-8502,羽咋市的場町松崎24番地,(0767)22-1220,地域災害拠点病院
公立能登総合病院,能登中部,926-0816,七尾市藤橋町ア部６番地４,(0767)52-6611,地域災害拠点病院
市立輪島病院,能登北部,928-8585,輪島市山岸町は１番１地,(0768)22-2222,地域災害拠点病院
珠洲市総合病院,能登北部,927-1213,珠洲市野々江町ユ部１番地１,(0768)82-1181,地域災害拠点病院
